context,question,answer,start,end
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What does something show?,an abstract elephant cartoon painted in horizontal rainbow stripes,11,19
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What was painted?,an abstract elephant cartoon,11,14
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,How is something painted?,in horizontal rainbow stripes,16,19
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What is something painted in?,horizontal rainbow stripes,17,19
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",Who is wearing something?,A man,0,1
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",What did someone wear?,a blue polo shirt and dark pants,3,9
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",Who is carrying something?,A man,0,1
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",What is someone carrying?,a protest sign,12,14
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",What says something?,A man wearing a blue polo shirt and dark pants,0,9
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",What does something say?,""" Come on now , what 's gayer than tea """,17,27
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",When is someone coming on something?,now,20,20
Two male Asian preteens giving the peace sign to the camera,Who gave something?,Two male Asian preteens,0,3
Two male Asian preteens giving the peace sign to the camera,What did someone give?,the peace sign,5,7
Two male Asian preteens giving the peace sign to the camera,Where is something being given?,to the camera,8,10
Two male Asian preteens giving the peace sign to the camera,What did someone give something to?,the camera,9,10
A sanitation worker in bright yellow safety garb hauls bins down a sidewalk .,Who bins somewhere?,A sanitation worker,0,2
A sanitation worker in bright yellow safety garb hauls bins down a sidewalk .,Where is something being binned?,down a sidewalk,10,12
An Asian band screaming at the top of their lungs and using drums .,Who is screaming?,An Asian band,0,2
An Asian band screaming at the top of their lungs and using drums .,Where was someone screaming?,at the top of their lungs,4,9
An Asian band screaming at the top of their lungs and using drums .,Who used something?,An Asian band,0,2
An Asian band screaming at the top of their lungs and using drums .,What is someone using?,drums,12,12
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Who asks someone something?,A clerk,0,1
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Who asks someone?,A clerk in a convenience store,0,5
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Where does someone ask someone?,in a convenience store,2,5
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Who does someone ask?,a customer,7,8
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,What does someone ask someone  do?,buying alcohol,9,10
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who observes something?,The student,0,1
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,What does someone observe?,a microscope,3,4
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Where does someone observe something?,through a microscope,6,8
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,When does someone observe something?,while trying to match what she sees with images in her workbook,9,20
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who is trying to do something?,The student,0,1
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,What is someone trying to do?,to match what she sees,11,15
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who matches something?,The student,0,1
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,What is being matched?,what she sees,13,15
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who sees?,The student,0,1
